,Nigeria,Japan,Pakistan,United States,France,Russia,Indonesia,Mexico,Rwanda,Haiti,Jordan,Cuba,Liberia,North Korea,Syria,Iraq,Yemen,Ukraine,Afghanistan,Turkey,Venezuela,Egypt,Iran,Saudi Arabia,China,Israel,Greece,Nepal,England,New Zealand,Germany,Spain,Thailand,South Africa,India,Australia,Brazil,Canada,Belgium,Netherland
Nigeria,68,1,0,14,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,1,1,2,1,0,3,2,2,1,5,1,1
Japan,0,66,1,16,3,2,4,3,0,0,0,0,0,3,1,0,0,1,1,1,2,1,1,1,4,0,1,1,2,3,2,2,3,2,3,4,8,2,1,1
Pakistan,0,1,70,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,1,0,1,0,1,0,5,2,0,2,0,0
United States,1,6,2,80,5,5,1,14,0,1,1,2,0,1,1,3,0,1,1,4,2,3,2,1,7,3,3,1,4,2,5,4,2,2,9,6,8,12,1,1
France,0,2,0,6,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,2,4,1,0,1,2,1,1,2,1
Russia,0,5,1,14,5,69,0,2,0,0,0,1,0,0,1,1,0,9,1,6,0,5,1,0,7,2,3,0,2,1,8,4,2,1,3,2,2,3,1,2
Indonesia,0,7,0,3,1,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,2,2,0,0,0,1
Mexico,0,1,0,8,1,1,0,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0
Rwanda,10,2,0,8,19,1,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,1,1,1,0,3,2,2,1,4,3,2
Haiti,0,1,0,8,14,1,0,1,0,49,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,5,4,1,0
Jordan,0,0,0,3,1,1,0,0,0,0,47,0,0,0,3,3,0,0,0,1,0,3,1,3,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
Cuba,0,1,0,7,2,1,0,5,0,0,0,68,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,7,0,0,1,0,3,3,0,0
Liberia,19,3,3,16,9,3,2,1,2,0,1,1,41,0,1,4,0,1,1,3,0,3,1,1,7,1,2,1,7,1,4,4,2,8,6,7,5,8,4,5
North Korea,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,0,0,0,2,1,1,0,0,0,0,1,0,0,0,48,3,0,0,0,2,0,2,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
Iraq,0,1,0,8,2,1,0,0,0,0,1,0,0,0,2,51,0,0,1,3,0,3,3,2,1,1,0,0,0,0,2,1,1,0,2,1,1,1,0,0
Yemen,0,1,0,4,2,1,0,0,0,0,1,0,0,0,3,3,61,0,0,1,0,6,1,8,1,1,0,0,0,0,1,0,0,0,2,0,1,1,0,0
Ukraine,0,1,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,69,0,2,0,1,0,0,1,1,1,0,1,0,2,1,0,0,1,0,0,1,0,0
Afghanistan,0,2,8,9,2,3,0,0,0,0,0,0,0,0,1,1,0,0,64,2,0,1,14,1,2,0,1,1,1,1,2,1,1,1,8,2,1,3,0,1
Turkey,0,5,0,8,2,5,0,1,0,0,0,0,0,0,1,2,0,1,0,54,0,1,2,0,1,1,2,0,2,0,5,1,1,0,1,1,1,1,1,2
Venezuela,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,52,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
Egypt,0,0,0,4,1,1,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,63,0,3,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
Iran,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,65,0,1,0,0,0,1,0,1,0,1,0,2,1,0,2,0,0
Saudi Arabia,0,1,3,5,2,1,1,0,0,0,1,0,0,0,3,2,3,0,0,3,0,7,1,50,1,0,0,0,0,0,1,0,1,0,4,1,0,1,0,0
China,1,6,1,10,2,2,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,25,1,1,0,1,2,3,1,5,1,4,5,1,2,1,2
Israel,4,2,0,13,5,4,0,1,0,0,2,1,0,0,2,1,0,2,0,2,0,3,1,1,2,76,2,0,2,1,5,3,3,1,3,3,3,3,1,2
Greece,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,65,0,1,0,3,1,0,0,1,1,1,1,0,1
Nepal,0,2,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,79,0,1,1,0,1,0,10,3,0,2,0,1
England,6,8,9,52,31,9,1,9,0,0,2,4,0,1,2,3,1,2,2,13,3,10,3,3,11,3,11,2,46,10,12,23,8,12,19,26,17,13,5,6
New Zealand,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,83,0,0,1,1,1,8,0,1,0,0
Germany,1,4,1,18,9,5,1,3,0,0,0,1,0,0,1,1,0,2,1,8,1,3,2,1,5,2,5,0,4,2,59,6,3,2,3,21,6,3,3,6
Spain,0,2,1,10,8,2,0,4,0,0,0,2,0,0,0,0,0,1,0,1,2,2,0,0,4,1,2,0,2,1,4,67,1,1,2,2,5,2,1,1
Thailand,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,0,1,1,0,0,0,0
South Africa,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,61,1,2,1,1,0,0
India,0,1,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,65,3,1,2,0,0
Australia,0,2,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,4,1,0,1,1,2,75,0,1,0,0
Brazil,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,55,0,0,0
Canada,0,1,1,9,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,2,2,1,79,0,0
Belgium,0,1,0,5,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,1,0,4,4,1,1,1,2,1,1,68,8
Netherlands,0,2,1,7,8,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,2,1,2,0,2,1,8,4,1,1,2,2,2,1,8,64