Country,Area (km),Population,Life Expectancy,GDP (per capita PPP),Religion1,Religion2,Language1,Language2,Latitude,Longitude
NORTH KOREA,120538,24983205,70.11,1800,Buddhism,Confucianism,Korean,NA,39.0392,125.7625
SYRIA,185180,17064854,74.69,5100,Islam,NA,Arabic,NA,33.5138,36.2765
IRAN,1648195,81824270,71.15,17800,Islam,NA,Farsi,NA,35.6892,51.389
IRAQ,438317,37056169,74.85,15500,Islam,NA,Arabic,NA,33.3128,44.3615
AFGHANISTAN,652230,32564342,50.87,2000,Islam,NA,Farsi,NA,34.5553,69.2075
PAKISTAN,796095,199085847,67.39,4900,Islam,NA,Urdu,English,33.7294,73.0931
RUSSIA,17098242,142423773,70.47,23700,Judeo-Christian,NA,Russian,NA,55.7558,37.6173
SAUDI ARABIA,2149690,27752316,75.05,54600,Islam,NA,Arabic,NA,24.7136,46.6753
CHINA,9596960,1367485388,75.41,14300,Daoism,Buddhism,Chinese,NA,39.9042,116.4074
UKRAINE,603550,44429471,71.57,8000,Judeo-Christian,NA,Ukranian,Russian,50.4501,30.5234
EGYPT,1001450,88487396,73.7,11500,Islam,NA,Arabic,NA,30.0444,31.2357
CUBA,110860,11031433,78.39,10200,Judeo-Christian,NA,Spanish,NA,23.1136,-82.3666
JORDAN,89342,8117564,74.35,12400,Islam,NA,Arabic,English,31.9566,35.9457
MEXICO,1964375,121736809,75.65,18500,Judeo-Christian,NA,Spanish,NA,19.4326,-99.1332
ISRAEL,20770,8049314,82.27,34300,Judeo-Christian,NA,Hebrew,Arabic,32.0853,34.7818
BRAZIL,8514877,204259812,73.53,15800,Judeo-Christian,NA,Portugese,Spanish,-15.7942,-47.8822
INDIA,3287263,1251695584,68.13,6300,Hinduism,Islam,Hindi,English,28.6139,77.209
JAPAN,377915,126919659,84.74,38200,Shintoism,Buddhism,Japanese,NA,35.6895,139.6917
GERMANY,357022,80854408,80.57,47400,Judeo-Christian,NA,German,NA,52.52,13.405
FRANCE,643801,66553766,81.75,41400,Judeo-Christian,NA,French,NA,48.8566,2.3522
ENGLAND,243610,64088222,80.54,41200,Judeo-Christian,NA,English,NA,51.5074,0.1278
CANADA,9984670,35099836,81.76,45900,Judeo-Christian,NA,English,French,45.4215,-75.6972
INDONESIA,1904569,255993674,72.45,11300,Islam,NA,Indonesian,NA,-6.1745,106.8227
RWANDA,26338,12661733,59.67,1800,Judeo-Christian,NA,Kinyarwanda,French,-1.9706,30.1044
HAITI,27750,10110019,63.51,1800,Judeo-Christian,NA,Creole,French,18.5944,-72.3074
LIBERIA,111369,4195666,58.6,900,Judeo-Christian,NA,English,NA,6.2907,-10.7605
YEMEN,527968,26737317,65.18,2800,Islam,NA,Arabic,NA,15.3694,44.191
TURKEY,783562,79414269,74.57,20500,Islam,NA,Turkish,NA,41.0082,28.9784
VENEZUELA,912050,29275460,74.54,16100,Judeo-Christian,NA,Spanish,NA,10.4806,66.9036
NIGERIA,923768,181562056,53.02,6400,Judeo-Christian,NA,English,NA,9.0765,7.3986
GREECE,131957,10775643,80.43,25600,Judeo-Christian,NA,Greek,NA,37.9839,23.7294
NEPAL,147181,31551305,67.52,2500,Hinduism,Buddhism,Nepali,NA,27.7172,85.324
NEW ZEALAND,267710,4438393,81.05,36400,Judeo-Christian,NA,English,Maori,41.2865,-174.7762
SPAIN,505370,48146134,81.57,35200,Judeo-Christian,NA,Spanish,NA,40.4168,-3.7038
THAILAND,513120,67976405,74.43,16100,Buddhism,NA,Thai,NA,13.7563,100.5018
SOUTH AFRICA,1219090,53675563,62.34,13400,Judeo-Christian,NA,IsiZulu,English,-25.7479,28.2293
AUSTRALIA,7741220,22751014,82.15,65400,Judeo-Christian,NA,English,NA,-35.282,149.1287
UNITED STATES,9826675,321368864,79.68,56300,Judeo-Christian,NA,English,Spanish,38.889931,-77.009003
BELGIUM,30528,11323973,80.88,44100,Judeo-Christian,NA,Dutch,French,50.8503,4.3517
NETHERLANDS,41543,16947904,81.23,49300,Judeo-Christian,NA,Dutch,NA,52.3702,4.8952